content_id,content_name,platform,mention_count,sentiment_score,trending_rank,recorded_date,source
C002,KBC Season 15,Instagram,20278.0,0.269,35,2024-01-03,SOCIAL
C002,KBC Season 15,YouTube,44975.0,-0.84,16,2024-01-03,SOCIAL
C002,KBC Season 15,Facebook,35647.0,0.965,34,2024-01-03,SOCIAL
C003,IPL 2024 Final,Twitter,7995.0,0.155,8,2024-01-03,SOCIAL
C003,IPL 2024 Final,Instagram,6640.0,0.994,18,2024-01-03,SOCIAL
C003,IPL 2024 Final,YouTube,22072.0,0.397,32,2024-01-03,SOCIAL
C003,IPL 2024 Final,Facebook,45660.0,-0.196,29,2024-01-03,SOCIAL
C004,Panchayat S3,Twitter,27369.0,0.804,38,2024-01-03,SOCIAL
C004,Panchayat S3,Instagram,22272.0,-0.742,37,2024-01-03,SOCIAL
C004,Panchayat S3,YouTube,,0.476,7,2024-01-03,SOCIAL
C004,Panchayat S3,Facebook,31815.0,-0.922,10,2024-01-03,SOCIAL
C005,Mirzapur S3,Twitter,6296.0,-0.1,20,2024-01-03,SOCIAL
C005,Mirzapur S3,Instagram,21799.0,-0.85,31,2024-01-03,SOCIAL
C005,Mirzapur S3,YouTube,30685.0,0.517,3,2024-01-03,SOCIAL
C005,Mirzapur S3,Facebook,8549.0,0.769,43,2024-01-03,SOCIAL
C001,Anupamaa S1,Twitter,13576.0,0.11,17,2024-01-04,SOCIAL
C001,Anupamaa S1,Instagram,46235.0,0.97,15,2024-01-04,SOCIAL
C001,Anupamaa S1,YouTube,20110.0,-0.096,11,2024-01-04,SOCIAL
C001,Anupamaa S1,Facebook,28963.0,-0.079,9,2024-01-04,SOCIAL
C002,KBC Season 15,Twitter,21241.0,0.724,47,2024-01-04,SOCIAL
C002,KBC Season 15,Instagram,,-0.881,23,2024-01-04,SOCIAL
C002,KBC Season 15,YouTube,41788.0,0.176,45,2024-01-04,SOCIAL
C002,KBC Season 15,Facebook,12065.0,0.064,34,2024-01-04,SOCIAL
C003,IPL 2024 Final,Twitter,37064.0,0.111,16,2024-01-04,SOCIAL
C003,IPL 2024 Final,Instagram,23742.0,0.418,32,2024-01-04,SOCIAL
C003,IPL 2024 Final,YouTube,11545.0,0.957,11,2024-01-04,SOCIAL
C003,IPL 2024 Final,Facebook,40692.0,0.215,13,2024-01-04,SOCIAL
C004,Panchayat S3,Twitter,14187.0,0.257,22,2024-01-04,SOCIAL
C004,Panchayat S3,Instagram,46013.0,-0.055,44,2024-01-04,SOCIAL
C004,Panchayat S3,YouTube,41192.0,-0.968,45,2024-01-04,SOCIAL
C004,Panchayat S3,Facebook,16807.0,-0.94,40,2024-01-04,SOCIAL
C005,Mirzapur S3,Twitter,16004.0,0.151,26,2024-01-04,SOCIAL
C005,Mirzapur S3,Instagram,43745.0,-0.153,46,2024-01-04,SOCIAL
C005,Mirzapur S3,YouTube,39842.0,0.6,20,2024-01-04,SOCIAL
C005,Mirzapur S3,Facebook,25273.0,-0.428,19,2024-01-04,SOCIAL
C001,Anupamaa S1,Twitter,17569.0,-0.729,30,2024-01-05,SOCIAL
C001,Anupamaa S1,Instagram,16383.0,0.171,15,2024-01-05,SOCIAL
C001,Anupamaa S1,YouTube,21012.0,0.446,26,2024-01-05,SOCIAL
C001,Anupamaa S1,Facebook,44470.0,-0.306,46,2024-01-05,SOCIAL
C002,KBC Season 15,Twitter,15812.0,0.206,36,2024-01-05,SOCIAL
C002,KBC Season 15,Instagram,48140.0,0.106,43,2024-01-05,SOCIAL
C002,KBC Season 15,YouTube,29851.0,-0.189,10,2024-01-05,SOCIAL
C002,KBC Season 15,Facebook,31119.0,-0.502,15,2024-01-05,SOCIAL
C003,IPL 2024 Final,Twitter,15479.0,0.714,1,2024-01-05,SOCIAL
C003,IPL 2024 Final,Instagram,25687.0,0.262,4,2024-01-05,SOCIAL
C003,IPL 2024 Final,YouTube,6939.0,-0.178,13,2024-01-05,SOCIAL
C003,IPL 2024 Final,Facebook,16211.0,-0.46,4,2024-01-05,SOCIAL
C004,Panchayat S3,Twitter,7747.0,-0.476,9,2024-01-05,SOCIAL
C004,Panchayat S3,Instagram,6120.0,-0.251,45,2024-01-05,SOCIAL
C004,Panchayat S3,YouTube,12961.0,-0.489,45,2024-01-05,SOCIAL
C004,Panchayat S3,Facebook,22603.0,-0.646,27,2024-01-05,SOCIAL
C005,Mirzapur S3,Twitter,13979.0,-0.198,34,2024-01-05,SOCIAL
C005,Mirzapur S3,Instagram,36577.0,-0.161,14,2024-01-05,SOCIAL
C005,Mirzapur S3,YouTube,12876.0,-0.271,3,2024-01-05,SOCIAL
C005,Mirzapur S3,Facebook,18667.0,-0.448,24,2024-01-05,SOCIAL
C001,Anupamaa S1,Twitter,23894.0,0.598,8,2024-01-06,SOCIAL
C001,Anupamaa S1,Instagram,48609.0,0.816,42,2024-01-06,SOCIAL
C001,Anupamaa S1,YouTube,20185.0,-0.593,19,2024-01-06,SOCIAL
C001,Anupamaa S1,Facebook,,-0.832,7,2024-01-06,SOCIAL
C002,KBC Season 15,Twitter,30717.0,-0.321,37,2024-01-06,SOCIAL
C002,KBC Season 15,Instagram,17465.0,-0.414,37,2024-01-06,SOCIAL
C002,KBC Season 15,YouTube,21887.0,-0.044,19,2024-01-06,SOCIAL
C002,KBC Season 15,Facebook,11024.0,0.531,6,2024-01-06,SOCIAL
C003,IPL 2024 Final,Twitter,41504.0,0.108,46,2024-01-06,SOCIAL
C003,IPL 2024 Final,Instagram,19713.0,-0.641,41,2024-01-06,SOCIAL
C003,IPL 2024 Final,YouTube,19777.0,-0.243,33,2024-01-06,SOCIAL
C003,IPL 2024 Final,Facebook,7286.0,0.798,5,2024-01-06,SOCIAL
C004,Panchayat S3,Twitter,10678.0,0.248,8,2024-01-06,SOCIAL
C004,Panchayat S3,Instagram,26830.0,-0.454,32,2024-01-06,SOCIAL
C004,Panchayat S3,YouTube,42153.0,0.221,17,2024-01-06,SOCIAL
C004,Panchayat S3,Facebook,43394.0,-0.225,12,2024-01-06,SOCIAL
C005,Mirzapur S3,Twitter,38545.0,0.192,33,2024-01-06,SOCIAL
C005,Mirzapur S3,Instagram,29077.0,-0.653,29,2024-01-06,SOCIAL
C005,Mirzapur S3,YouTube,47839.0,-0.591,14,2024-01-06,SOCIAL
C005,Mirzapur S3,Facebook,42817.0,0.815,40,2024-01-06,SOCIAL
C001,Anupamaa S1,Twitter,34723.0,0.764,24,2024-01-07,SOCIAL
C001,Anupamaa S1,Instagram,42380.0,0.14,8,2024-01-07,SOCIAL
C001,Anupamaa S1,YouTube,23701.0,-0.52,1,2024-01-07,SOCIAL
C001,Anupamaa S1,Facebook,4107.0,-0.071,8,2024-01-07,SOCIAL
C002,KBC Season 15,Twitter,17210.0,-0.263,42,2024-01-07,SOCIAL
C002,KBC Season 15,Instagram,5034.0,0.594,15,2024-01-07,SOCIAL
C002,KBC Season 15,YouTube,18316.0,-0.04,37,2024-01-07,SOCIAL
C002,KBC Season 15,Facebook,11727.0,0.835,16,2024-01-07,SOCIAL
C003,IPL 2024 Final,Twitter,,-0.321,30,2024-01-07,SOCIAL
C003,IPL 2024 Final,Instagram,36649.0,-0.657,21,2024-01-07,SOCIAL
C003,IPL 2024 Final,YouTube,48606.0,-0.607,5,2024-01-07,SOCIAL
C003,IPL 2024 Final,Facebook,1785.0,0.448,6,2024-01-07,SOCIAL
C004,Panchayat S3,Twitter,9295.0,-0.498,20,2024-01-07,SOCIAL
C004,Panchayat S3,Instagram,15737.0,0.486,35,2024-01-07,SOCIAL
C004,Panchayat S3,YouTube,42039.0,0.361,25,2024-01-07,SOCIAL
C004,Panchayat S3,Facebook,11109.0,-0.383,48,2024-01-07,SOCIAL
C005,Mirzapur S3,Twitter,,99.0,41,2024-01-07,SOCIAL
C005,Mirzapur S3,Instagram,4753.0,0.842,41,2024-01-07,SOCIAL
C005,Mirzapur S3,YouTube,27347.0,-0.974,27,2024-01-07,SOCIAL
C005,Mirzapur S3,Facebook,48359.0,0.487,25,2024-01-07,SOCIAL
C001,Anupamaa S1,Twitter,,0.451,25,2024-01-08,SOCIAL
C001,Anupamaa S1,Instagram,39089.0,0.253,16,2024-01-08,SOCIAL
C001,Anupamaa S1,YouTube,,-0.108,20,2024-01-08,SOCIAL
C001,Anupamaa S1,Facebook,39889.0,-0.795,10,2024-01-08,SOCIAL
C002,KBC Season 15,Twitter,4285.0,0.038,32,2024-01-08,SOCIAL
C002,KBC Season 15,Instagram,39272.0,0.912,41,2024-01-08,SOCIAL
C002,KBC Season 15,YouTube,2523.0,-0.228,1,2024-01-08,SOCIAL
C002,KBC Season 15,Facebook,27935.0,-0.845,50,2024-01-08,SOCIAL
C003,IPL 2024 Final,Twitter,17549.0,-0.124,23,2024-01-08,SOCIAL
C003,IPL 2024 Final,Instagram,38196.0,-0.982,7,2024-01-08,SOCIAL
C003,IPL 2024 Final,YouTube,10893.0,-0.363,9,2024-01-08,SOCIAL
C003,IPL 2024 Final,Facebook,47754.0,0.982,6,2024-01-08,SOCIAL
C004,Panchayat S3,Twitter,27318.0,-0.912,17,2024-01-08,SOCIAL
C004,Panchayat S3,Instagram,3553.0,-0.626,31,2024-01-08,SOCIAL
C004,Panchayat S3,YouTube,10917.0,0.116,40,2024-01-08,SOCIAL
C004,Panchayat S3,Facebook,35563.0,-0.169,33,2024-01-08,SOCIAL
C005,Mirzapur S3,Twitter,14965.0,0.278,8,2024-01-08,SOCIAL
C005,Mirzapur S3,Instagram,11414.0,-0.88,26,2024-01-08,SOCIAL
C005,Mirzapur S3,YouTube,5339.0,-0.471,45,2024-01-08,SOCIAL
C005,Mirzapur S3,Facebook,40542.0,0.096,10,2024-01-08,SOCIAL
C001,Anupamaa S1,Twitter,24474.0,-0.927,30,2024-01-09,SOCIAL
C001,Anupamaa S1,Instagram,40632.0,-0.21,25,2024-01-09,SOCIAL
C001,Anupamaa S1,YouTube,40593.0,0.209,41,2024-01-09,SOCIAL
C001,Anupamaa S1,Facebook,49412.0,0.93,33,2024-01-09,SOCIAL
C002,KBC Season 15,Twitter,17222.0,-0.672,4,2024-01-09,SOCIAL
C002,KBC Season 15,Instagram,42523.0,-0.865,6,2024-01-09,SOCIAL
C002,KBC Season 15,YouTube,18336.0,0.676,9,2024-01-09,SOCIAL
C002,KBC Season 15,Facebook,16968.0,-0.215,42,2024-01-09,SOCIAL
C003,IPL 2024 Final,Twitter,31274.0,-0.554,32,2024-01-09,SOCIAL
C003,IPL 2024 Final,Instagram,11213.0,-0.507,35,2024-01-09,SOCIAL
C003,IPL 2024 Final,YouTube,27830.0,-0.865,23,2024-01-09,SOCIAL
C003,IPL 2024 Final,Facebook,38033.0,-0.264,34,2024-01-09,SOCIAL
C004,Panchayat S3,Twitter,,0.853,21,2024-01-09,SOCIAL
C004,Panchayat S3,Instagram,48587.0,0.198,39,2024-01-09,SOCIAL
C004,Panchayat S3,YouTube,18008.0,-0.086,21,2024-01-09,SOCIAL
C004,Panchayat S3,Facebook,43333.0,99.0,28,2024-01-09,SOCIAL
C005,Mirzapur S3,Twitter,14081.0,0.791,32,2024-01-09,SOCIAL
C005,Mirzapur S3,Instagram,46127.0,0.53,33,2024-01-09,SOCIAL
C005,Mirzapur S3,YouTube,11269.0,0.186,2,2024-01-09,SOCIAL
C005,Mirzapur S3,Facebook,22383.0,-0.371,31,2024-01-09,SOCIAL
C001,Anupamaa S1,Twitter,37768.0,-0.062,39,2024-01-10,SOCIAL
C001,Anupamaa S1,Instagram,42129.0,0.069,14,2024-01-10,SOCIAL
C001,Anupamaa S1,YouTube,25655.0,-0.113,2,2024-01-10,SOCIAL
C001,Anupamaa S1,Facebook,30839.0,-0.376,41,2024-01-10,SOCIAL
C002,KBC Season 15,Twitter,6634.0,-0.919,38,2024-01-10,SOCIAL
C002,KBC Season 15,Instagram,14414.0,0.21,47,2024-01-10,SOCIAL
C002,KBC Season 15,YouTube,44182.0,0.071,21,2024-01-10,SOCIAL
C002,KBC Season 15,Facebook,391.0,0.544,15,2024-01-10,SOCIAL
C003,IPL 2024 Final,Twitter,,-0.889,16,2024-01-10,SOCIAL
C003,IPL 2024 Final,Instagram,22447.0,0.946,28,2024-01-10,SOCIAL
C003,IPL 2024 Final,YouTube,48732.0,-0.949,9,2024-01-10,SOCIAL
C003,IPL 2024 Final,Facebook,34882.0,-0.289,36,2024-01-10,SOCIAL
C004,Panchayat S3,Twitter,41562.0,-0.18,41,2024-01-10,SOCIAL
C004,Panchayat S3,Instagram,25204.0,-0.149,1,2024-01-10,SOCIAL
C004,Panchayat S3,YouTube,40562.0,-0.162,23,2024-01-10,SOCIAL
C004,Panchayat S3,Facebook,20236.0,0.353,26,2024-01-10,SOCIAL
C005,Mirzapur S3,Twitter,1220.0,0.814,21,2024-01-10,SOCIAL
C005,Mirzapur S3,Instagram,5466.0,0.594,6,2024-01-10,SOCIAL
C005,Mirzapur S3,YouTube,3831.0,-0.823,19,2024-01-10,SOCIAL
C005,Mirzapur S3,Facebook,8588.0,-0.221,43,2024-01-10,SOCIAL
C001,Anupamaa S1,Twitter,9063.0,-0.241,42,2024-01-11,SOCIAL
C001,Anupamaa S1,Instagram,,0.83,34,2024-01-11,SOCIAL
C001,Anupamaa S1,YouTube,1629.0,0.753,9,2024-01-11,SOCIAL
C001,Anupamaa S1,Facebook,18281.0,-0.31,19,2024-01-11,SOCIAL
C002,KBC Season 15,Twitter,4090.0,0.003,39,2024-01-11,SOCIAL
C002,KBC Season 15,Instagram,41597.0,-0.532,26,2024-01-11,SOCIAL
C002,KBC Season 15,YouTube,24577.0,-0.519,11,2024-01-11,SOCIAL
C002,KBC Season 15,Facebook,18215.0,0.282,31,2024-01-11,SOCIAL
C003,IPL 2024 Final,Twitter,29798.0,0.528,38,2024-01-11,SOCIAL
C003,IPL 2024 Final,Instagram,21782.0,-0.924,29,2024-01-11,SOCIAL
C003,IPL 2024 Final,YouTube,47465.0,0.789,44,2024-01-11,SOCIAL
C003,IPL 2024 Final,Facebook,23858.0,0.547,21,2024-01-11,SOCIAL
C004,Panchayat S3,Twitter,30164.0,0.792,32,2024-01-11,SOCIAL
C004,Panchayat S3,Instagram,16615.0,0.12,48,2024-01-11,SOCIAL
C004,Panchayat S3,YouTube,47728.0,-0.295,48,2024-01-11,SOCIAL
C004,Panchayat S3,Facebook,10239.0,-0.339,11,2024-01-11,SOCIAL
C005,Mirzapur S3,Twitter,11276.0,0.886,48,2024-01-11,SOCIAL
C005,Mirzapur S3,Instagram,36197.0,0.659,27,2024-01-11,SOCIAL
C005,Mirzapur S3,YouTube,30113.0,0.586,41,2024-01-11,SOCIAL
C005,Mirzapur S3,Facebook,3467.0,-0.835,32,2024-01-11,SOCIAL
C001,Anupamaa S1,Twitter,21374.0,0.546,11,2024-01-12,SOCIAL
C001,Anupamaa S1,Instagram,31576.0,0.178,41,2024-01-12,SOCIAL
C001,Anupamaa S1,YouTube,11579.0,0.242,37,2024-01-12,SOCIAL
C001,Anupamaa S1,Facebook,45034.0,0.522,28,2024-01-12,SOCIAL
C002,KBC Season 15,Twitter,21579.0,0.755,14,2024-01-12,SOCIAL
C002,KBC Season 15,Instagram,41005.0,-0.205,17,2024-01-12,SOCIAL
C002,KBC Season 15,YouTube,44575.0,0.747,37,2024-01-12,SOCIAL
C002,KBC Season 15,Facebook,40506.0,-0.895,4,2024-01-12,SOCIAL
C003,IPL 2024 Final,Twitter,14784.0,0.33,22,2024-01-12,SOCIAL
C003,IPL 2024 Final,Instagram,17742.0,-0.924,1,2024-01-12,SOCIAL
C003,IPL 2024 Final,YouTube,3956.0,0.121,49,2024-01-12,SOCIAL
C003,IPL 2024 Final,Facebook,5977.0,-0.315,46,2024-01-12,SOCIAL
C004,Panchayat S3,Twitter,5483.0,0.883,19,2024-01-12,SOCIAL
C004,Panchayat S3,Instagram,9504.0,-0.17,48,2024-01-12,SOCIAL
C004,Panchayat S3,YouTube,21063.0,-0.06,21,2024-01-12,SOCIAL
C004,Panchayat S3,Facebook,14608.0,0.674,35,2024-01-12,SOCIAL
C005,Mirzapur S3,Twitter,22428.0,-0.862,13,2024-01-12,SOCIAL
C005,Mirzapur S3,Instagram,44383.0,0.883,31,2024-01-12,SOCIAL
C005,Mirzapur S3,YouTube,24683.0,0.411,22,2024-01-12,SOCIAL
C005,Mirzapur S3,Facebook,10652.0,0.23,27,2024-01-12,SOCIAL
C001,Anupamaa S1,Twitter,4708.0,-0.375,47,2024-01-13,SOCIAL
C001,Anupamaa S1,Instagram,28567.0,0.496,2,2024-01-13,SOCIAL
C001,Anupamaa S1,YouTube,17868.0,-0.881,23,2024-01-13,SOCIAL
C001,Anupamaa S1,Facebook,9323.0,-0.955,16,2024-01-13,SOCIAL
C002,KBC Season 15,Twitter,13501.0,-0.473,27,2024-01-13,SOCIAL
C002,KBC Season 15,Instagram,5095.0,-0.862,39,2024-01-13,SOCIAL
C002,KBC Season 15,YouTube,32748.0,0.051,13,2024-01-13,SOCIAL
C002,KBC Season 15,Facebook,29514.0,-0.712,12,2024-01-13,SOCIAL
C003,IPL 2024 Final,Twitter,42744.0,-0.235,23,2024-01-13,SOCIAL
C003,IPL 2024 Final,Instagram,39633.0,0.786,13,2024-01-13,SOCIAL
C003,IPL 2024 Final,YouTube,43288.0,-0.563,33,2024-01-13,SOCIAL
C003,IPL 2024 Final,Facebook,2791.0,-0.426,46,2024-01-13,SOCIAL
C004,Panchayat S3,Twitter,40271.0,-0.868,6,2024-01-13,SOCIAL
C004,Panchayat S3,Instagram,25304.0,-0.903,16,2024-01-13,SOCIAL
C004,Panchayat S3,YouTube,13360.0,0.971,48,2024-01-13,SOCIAL
C004,Panchayat S3,Facebook,44492.0,-0.537,33,2024-01-13,SOCIAL
C005,Mirzapur S3,Twitter,24591.0,-0.416,6,2024-01-13,SOCIAL
C005,Mirzapur S3,Instagram,34777.0,0.3,16,2024-01-13,SOCIAL
C005,Mirzapur S3,YouTube,,0.305,28,2024-01-13,SOCIAL
C005,Mirzapur S3,Facebook,3653.0,0.33,44,2024-01-13,SOCIAL
C001,Anupamaa S1,Twitter,1141.0,0.261,13,2024-01-14,SOCIAL
C001,Anupamaa S1,Instagram,5812.0,-0.555,36,2024-01-14,SOCIAL
C001,Anupamaa S1,YouTube,35508.0,-0.903,11,2024-01-14,SOCIAL
C001,Anupamaa S1,Facebook,44936.0,0.817,3,2024-01-14,SOCIAL
C002,KBC Season 15,Twitter,38133.0,-0.519,27,2024-01-14,SOCIAL
C002,KBC Season 15,Instagram,31919.0,0.45,47,2024-01-14,SOCIAL
C002,KBC Season 15,YouTube,27179.0,99.0,30,2024-01-14,SOCIAL
C002,KBC Season 15,Facebook,30494.0,-0.09,27,2024-01-14,SOCIAL
C003,IPL 2024 Final,Twitter,22517.0,0.53,30,2024-01-14,SOCIAL
C003,IPL 2024 Final,Instagram,24838.0,-0.378,23,2024-01-14,SOCIAL
C003,IPL 2024 Final,YouTube,19681.0,-0.338,4,2024-01-14,SOCIAL
C003,IPL 2024 Final,Facebook,13733.0,-0.5,33,2024-01-14,SOCIAL
C004,Panchayat S3,Twitter,7363.0,0.227,45,2024-01-14,SOCIAL
C004,Panchayat S3,Instagram,16491.0,-0.596,50,2024-01-14,SOCIAL
C004,Panchayat S3,YouTube,48536.0,0.444,7,2024-01-14,SOCIAL
C004,Panchayat S3,Facebook,3411.0,-0.721,40,2024-01-14,SOCIAL
C005,Mirzapur S3,Twitter,13490.0,0.148,24,2024-01-14,SOCIAL
C005,Mirzapur S3,Instagram,13562.0,-0.53,4,2024-01-14,SOCIAL
C005,Mirzapur S3,YouTube,,0.237,49,2024-01-14,SOCIAL
C005,Mirzapur S3,Facebook,8966.0,-0.616,16,2024-01-14,SOCIAL
C001,Anupamaa S1,Twitter,12459.0,0.306,6,2024-01-15,SOCIAL
C001,Anupamaa S1,Instagram,13585.0,-0.27,48,2024-01-15,SOCIAL
C001,Anupamaa S1,YouTube,4676.0,-0.377,42,2024-01-15,SOCIAL
C001,Anupamaa S1,Facebook,34180.0,-0.37,48,2024-01-15,SOCIAL
C002,KBC Season 15,Twitter,,-0.071,10,2024-01-15,SOCIAL
C002,KBC Season 15,Instagram,24775.0,-0.499,28,2024-01-15,SOCIAL
C002,KBC Season 15,YouTube,9184.0,0.601,28,2024-01-15,SOCIAL
C002,KBC Season 15,Facebook,1030.0,-0.229,19,2024-01-15,SOCIAL
C003,IPL 2024 Final,Twitter,47109.0,-0.788,41,2024-01-15,SOCIAL
C003,IPL 2024 Final,Instagram,8180.0,0.493,20,2024-01-15,SOCIAL
C003,IPL 2024 Final,YouTube,20134.0,0.63,31,2024-01-15,SOCIAL
C003,IPL 2024 Final,Facebook,28737.0,-0.686,27,2024-01-15,SOCIAL
C004,Panchayat S3,Twitter,18820.0,0.125,16,2024-01-15,SOCIAL
C004,Panchayat S3,Instagram,48253.0,0.977,43,2024-01-15,SOCIAL
C004,Panchayat S3,YouTube,9000.0,-0.094,38,2024-01-15,SOCIAL
C004,Panchayat S3,Facebook,29827.0,-0.502,12,2024-01-15,SOCIAL
C005,Mirzapur S3,Twitter,38316.0,-0.436,28,2024-01-15,SOCIAL
C005,Mirzapur S3,Instagram,37244.0,-0.346,31,2024-01-15,SOCIAL
C005,Mirzapur S3,YouTube,11167.0,-0.31,43,2024-01-15,SOCIAL
C005,Mirzapur S3,Facebook,2300.0,-0.685,48,2024-01-15,SOCIAL
C001,Anupamaa S1,Twitter,23773.0,99.0,14,2024-01-16,SOCIAL
C001,Anupamaa S1,Instagram,29850.0,-0.076,8,2024-01-16,SOCIAL
C001,Anupamaa S1,YouTube,10638.0,-0.252,12,2024-01-16,SOCIAL
C001,Anupamaa S1,Facebook,35293.0,-0.471,50,2024-01-16,SOCIAL
C002,KBC Season 15,Twitter,36756.0,0.205,6,2024-01-16,SOCIAL
C002,KBC Season 15,Instagram,38880.0,0.34,46,2024-01-16,SOCIAL
C002,KBC Season 15,YouTube,38731.0,0.907,20,2024-01-16,SOCIAL
C002,KBC Season 15,Facebook,39641.0,-0.284,6,2024-01-16,SOCIAL
C003,IPL 2024 Final,Twitter,25271.0,0.357,22,2024-01-16,SOCIAL
C003,IPL 2024 Final,Instagram,41056.0,99.0,48,2024-01-16,SOCIAL
C003,IPL 2024 Final,YouTube,46425.0,0.401,18,2024-01-16,SOCIAL
C003,IPL 2024 Final,Facebook,20649.0,0.672,26,2024-01-16,SOCIAL
C004,Panchayat S3,Twitter,43144.0,1.0,20,2024-01-16,SOCIAL
C004,Panchayat S3,Instagram,28448.0,-0.497,21,2024-01-16,SOCIAL
C004,Panchayat S3,YouTube,9562.0,-0.523,38,2024-01-16,SOCIAL
C004,Panchayat S3,Facebook,486.0,-0.94,5,2024-01-16,SOCIAL
C005,Mirzapur S3,Twitter,24374.0,-0.66,10,2024-01-16,SOCIAL
C005,Mirzapur S3,Instagram,48427.0,0.053,32,2024-01-16,SOCIAL
C005,Mirzapur S3,YouTube,35380.0,-0.269,17,2024-01-16,SOCIAL
C005,Mirzapur S3,Facebook,32455.0,0.781,5,2024-01-16,SOCIAL
C001,Anupamaa S1,Twitter,33006.0,0.176,49,2024-01-17,SOCIAL
C001,Anupamaa S1,Instagram,32086.0,0.198,23,2024-01-17,SOCIAL
C001,Anupamaa S1,YouTube,3052.0,-0.75,44,2024-01-17,SOCIAL
C001,Anupamaa S1,Facebook,19843.0,-0.248,3,2024-01-17,SOCIAL
C002,KBC Season 15,Twitter,49160.0,0.867,44,2024-01-17,SOCIAL
C002,KBC Season 15,Instagram,49476.0,-0.543,32,2024-01-17,SOCIAL
C002,KBC Season 15,YouTube,9488.0,0.518,22,2024-01-17,SOCIAL
C002,KBC Season 15,Facebook,3013.0,0.486,33,2024-01-17,SOCIAL
C003,IPL 2024 Final,Twitter,45823.0,-0.944,45,2024-01-17,SOCIAL
C003,IPL 2024 Final,Instagram,20389.0,0.332,30,2024-01-17,SOCIAL
